ISBN,trove_id,title,author,issued,type,relevance_score,relevance_value,identifier_type,identifier_linktype,identifier_value,start_year,author_processed,type_processed,decade,corpus,recency_score,popularity_score
9780987411464,237292511.0,Take Note Music Writing Student Book 3,"McClure, Davina B.",2003,"Book/Illustrated, Book",6.004440307617188,very relevant,,,,2003.0,"McClure, Davina B.",Book/Illustrated,2000.0,"9780987411464 Take Note Music Writing Student Book 3 McClure, Davina B. Book/Illustrated",0.9734299516908212,0.0
9781741352948,191620007.0,Writing Time 1 Student Book : Victorian Modern Cursive,"Serenc, Mary",2014,"Book/Illustrated, Book",6.004440307617188,very relevant,,,,2014.0,"Serenc, Mary",Book/Illustrated,2010.0,"9781741352948 Writing Time 1 Student Book : Victorian Modern Cursive Serenc, Mary Book/Illustrated",0.9867149758454107,0.0
9780076044825,7832177.0,"Spelling mastery / Robert Dixon, Siegfried Engelmann, Mary Meier Bauer","Dixon, Robert, 1947-",1990-2007,"Book/Illustrated, Book",8.340190887451172,very relevant,,,,1990.0,"Dixon, Robert, 1947-",Book/Illustrated,1990.0,"9780076044825 Spelling mastery / Robert Dixon, Siegfried Engelmann, Mary Meier Bauer Dixon, Robert, 1947- Book/Illustrated",0.9577294685990339,0.08290831127714053
9780076044825,189726276.0,"SRA spelling mastery. / Robert Dixon, Siegfried Engelmann, Mary Meier Bauer","Dixon, Robert",2007,"Book/Illustrated, Book",7.633111000061035,very relevant,,,,2007.0,"Dixon, Robert",Book/Illustrated,2000.0,"9780076044825 SRA spelling mastery. / Robert Dixon, Siegfried Engelmann, Mary Meier Bauer Dixon, Robert Book/Illustrated",0.9782608695652174,0.057810255043022576
9780190312497,98479536.0,Handwriting first for Victoria / Maree Williams,"Williams, Maree",2011-2019,"Book/Illustrated, Book",12.157639503479004,very relevant,,,,2011.0,"Williams, Maree",Book/Illustrated,2010.0,"9780190312497 Handwriting first for Victoria / Maree Williams Williams, Maree Book/Illustrated",0.9830917874396136,0.21841003002855805
9781563160332,,,,,,,,,,,,Unknown,Unknown,,9781563160332,0.5,0.5
9781337587426,232619285.0,"Accounting + cengagenowv2, 2 terms printed access card","Warren, Carl S",2017,Book,6.004440307617188,very relevant,,,,2017.0,"Warren, Carl S",Book,2010.0,"9781337587426 Accounting + cengagenowv2, 2 terms printed access card Warren, Carl S Book",0.9903381642512077,0.0
9781933301013,,,,,,,,,,,,Unknown,Unknown,,9781933301013,0.5,0.5
9781741250893,17911947.0,"Victorian targeting handwriting /  Tricia Dearborn, Jo Ryan, Stephen Michael King","Dearborn, Tricia",2004,"Book, Book/Illustrated",8.119243621826172,very relevant,,,,2004.0,"Dearborn, Tricia",Book/Illustrated,2000.0,"9781741250893 Victorian targeting handwriting /  Tricia Dearborn, Jo Ryan, Stephen Michael King Dearborn, Tricia Book/Illustrated",0.9746376811594203,0.07506570820452454
9781741250893,201168682.0,"Targeting handwriting. Student book. 2 : Victorian modern cursive / by Jane Pinsker, Jo Ryan ; [illustrated by] Stephen Michael King","Ryan, Jo",2004,"Book/Illustrated, Book",6.751034259796143,very relevant,,,,2004.0,"Ryan, Jo",Book/Illustrated,2000.0,"9781741250893 Targeting handwriting. Student book. 2 : Victorian modern cursive / by Jane Pinsker, Jo Ryan ; [illustrated by] Stephen Michael King Ryan, Jo Book/Illustrated",0.9746376811594203,0.026500622249351145
9780987395344,192330611.0,Time for better handwriting (Foundation style) /  Erin Hunter,"Hunter, Erin",2013,"Book/Illustrated, Book",6.751034259796143,very relevant,,,,2013.0,"Hunter, Erin",Book/Illustrated,2010.0,"9780987395344 Time for better handwriting (Foundation style) /  Erin Hunter Hunter, Erin Book/Illustrated",0.9855072463768116,0.026500622249351145
9780987395344,190821029.0,Time for better handwriting (Foundation style) : Book 2 / Erin Hunter,"Hunter, Erin",2013,"Book/Illustrated, Book",6.004440307617188,very relevant,,,,2013.0,"Hunter, Erin",Book/Illustrated,2010.0,"9780987395344 Time for better handwriting (Foundation style) : Book 2 / Erin Hunter Hunter, Erin Book/Illustrated",0.9855072463768116,0.0
9780142410394,5646021.0,The twits /  Roald Dahl ; illustrated by Quentin Blake,"Dahl, Roald, 1916-1990",1900-2024,"Book, Book/Illustrated, Audio book, Book/Braille, Book/Large print",27.403976440429688,very relevant,url,restricted,http://openlibrary.org/books/OL27290110M,1900.0,"Dahl, Roald, 1916-1990",Book/Illustrated,1900.0,"9780142410394 The twits /  Roald Dahl ; illustrated by Quentin Blake Dahl, Roald, 1916-1990 Book/Illustrated",0.8490338164251208,0.7595842716270409
9780190322809,215602592.0,"Maths plus. mentals and homework book : New South Wales syllabus / Harry O'Brien, Greg Purcell","O'Brien, Harry",2016-2023,"Book/Illustrated, Book",10.703790664672852,very relevant,,,,2016.0,"O'Brien, Harry",Book/Illustrated,2010.0,"9780190322809 Maths plus. mentals and homework book : New South Wales syllabus / Harry O'Brien, Greg Purcell O'Brien, Harry Book/Illustrated",0.9891304347826086,0.16680513988390183
9780190322809,215602608.0,"Maths plus. mentals and homework book : New South Wales syllabus / Harry O'Brien, Greg Purcell","O'Brien, Harry",2017-2020,"Book/Illustrated, Book",8.548882484436035,very relevant,,,,2017.0,"O'Brien, Harry",Book/Illustrated,2010.0,"9780190322809 Maths plus. mentals and homework book : New South Wales syllabus / Harry O'Brien, Greg Purcell O'Brien, Harry Book/Illustrated",0.9903381642512077,0.09031589496057234
