ISBN,trove_id,title,author,issued,type,relevance_score,relevance_value,identifier_type,identifier_linktype,identifier_value
9780987127150,180706533,Reading conventions :  developing inferential reading skillls and national focuses /  Lauren O'Brien,"O'Brien, Lauren",2012,"Book, Book/Illustrated",8.119243621826172,very relevant,,,
9780195560374,26101936,"Grammar through text types. Peter Durkin, Virginia Ferguson","Durkin, Peter",2008,"Book/Illustrated, Book",13.144960403442383,very relevant,url,unknown,https://find.library.unisa.edu.au/discovery/fulldisplay/alma99132653401831/61USOUTHAUS_INST:UNISA
9780195560374,233502298,Grammar through text types - 2,"Durkin, Peter",2008,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,
9780725334611,9530380,New improved modern cursive handwriting /  Gail and Paul Nightingale,"Nightingale, Gail",2004,"Book/Illustrated, Book",9.763036727905273,very relevant,,,
9781741353372,200331411,Think mentals. Maths strategies and practice / Chris Linthorne ; Sandra Williams ; Peter Williams,"Linthorne, Chris",2015-2018,"Book/Illustrated, Book",9.114736557006836,very relevant,,,
9781741353372,193611756,Think Mentals Student Book 6 : Maths Strategies and Practice,"Linthorne, Chris",2015-2019,"Book/Illustrated, Book",8.548882484436035,very relevant,,,
9781741353372,193611760,"Think Mentals 2 : maths strategies and practice / Chris Linthorne, Sandra Williams, Peter Williams","Linthorne, Chris",2015,"Book/Illustrated, Book",7.070510387420654,very relevant,,,
9781877085444,17912378,"Queensland targeting handwriting /  Jane Pinsker, Susan Young, Stephen Michael King","Pinsker, Jane",2002-2003,"Book/Illustrated, Book",7.633111000061035,very relevant,,,
9781877085444,232141602,"Queensland targeting handwriting. Queensland modern cursive / Jane Pinsker, Susan Young, Stephen Michael King","Pinsker, Jane",2002-2003,"Book/Illustrated, Book",7.36301851272583,very relevant,,,
9789810732936,196812794,Pr1me mathematics,Scholastic Inc,2014,"Book/Illustrated, Book",12.066633224487305,very relevant,,,
9789810732936,236384788,PR1ME Mathematics 2A Coursebook,Scholastic Education International (Singapore),2014,"Book/Illustrated, Book",6.0044403076171875,very relevant,,,
9789810730673,196812794,Pr1me mathematics,Scholastic Inc,2014,"Book/Illustrated, Book",12.066633224487305,very relevant,,,
9789810730673,236385191,Pr1me Mathematics 2B Practice book,Scholastic Education International (Singapore),2014,"Book/Illustrated, Book",6.0044403076171875,very relevant,,,
9781862512634,,,,,,,,,,
9781741352696,188532159,Sound waves : words and sounds book / illustrations by Chris Dent ; edited by Sarah Waldon,"Murray, Barbara",2013,"Book/Illustrated, Book",7.070510387420654,very relevant,,,
9780648237334,,,,,,,,,,
9780763696085,235201919,Circle /  by Mac Barnett & Jon Klassen,"Barnett, Mac",2019-2020,"Book, Book/Illustrated",19.67304229736328,very relevant,url,restricted,https://www.overdrive.com/search?q=295D3DEC-1111-448F-B7A3-E7933D8A78F2
9781402007002,32523538,One hundred years of phenomenology : Husserl's Logical investigations revisited / edited by Dan Zahavi and Frederik Stjernfelt,"Zahavi, Dan",2002-2011,"Book, Book/Illustrated",8.340190887451172,very relevant,url,restricted,http://www.loc.gov/catdir/toc/fy033/2002030069.html
9781402007002,232282017,One Hundred Years of Phenomenology,,1900,Book,6.0044403076171875,very relevant,url,restricted,http://gateway.library.qut.edu.au/login?url=http://link.springer.com/openurl?genre=book&isbn=978-94-017-0093-1
9781400316908,,,,,,,,,,
9780670072361,152833419,One small island :  the story of Macquarie Island /  Alison Lester and Coral Tulloch,"Lester, Alison",1900-2019,"Book, Book/Illustrated",19.968074798583984,very relevant,url,unknown,https://find.library.unisa.edu.au/discovery/fulldisplay/alma9915866454601831/61USOUTHAUS_INST:UNISA
9781920962425,161929744,New wave mental maths /  Eddy Krajcar,"Krajcar, Eddy",1999-2018,"Book, Book/Illustrated",15.39225959777832,very relevant,url,unknown,https://find.library.unisa.edu.au/discovery/fulldisplay/alma9916459908801831/61USOUTHAUS_INST:UNISA
9780190320232,,,,,,,,,,
9781741352818,,,,,,,,,,
9780190309961,222717172,Oxford Australian junior dictionary /  Oxford ; reviewed by Rosslyn Rosenberg and Margaret Wright,"Rosenberg, Rosslyn",2017-2018,"Book/Illustrated, Book",10.823433876037598,very relevant,,,
9781488621802,171381009,"Australian signpost maths. mentals / Alan McSeveny, Rachel McSeveny","McSeveny, Alan",2012-2018,"Book/Illustrated, Book",12.590726852416992,very relevant,url,thumbnail,https://nla.gov.au/nla.obj-664439983-t
9781488621802,171381009,"Australian signpost maths. mentals / Alan McSeveny, Rachel McSeveny","McSeveny, Alan",2012-2018,"Book/Illustrated, Book",12.590726852416992,very relevant,url,restricted,https://nla.gov.au/nla.obj-664439983
